name,type,district,lat,lng,homepage,reason,osm_id
Bar im Wasserturm,venue,Alt-Hohenschönhausen,52.547659,13.4887104,http://www.berlin-wasserturm.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/306915565
Café Keese,venue,Charlottenburg,52.5120173,13.3165894,http://www.cafekeese.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/3184975056
Cocktailbar Zeitlos IV,venue,Charlottenburg,52.5054368,13.3176983,http://cocktailbarzeitlos.de,error: ConnectTimeout,node/3455613401
gainsbourg bar américain,venue,Charlottenburg,52.5046693,13.3250472,http://www.gainsbourg.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/648238268
Gecco,venue,Charlottenburg,52.5034256,13.3344065,http://gecco-bar.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/3354419276
Hildegard Bar,venue,Charlottenburg,52.5030662,13.3368675,https://www.hildegardbar-berlin.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/5933931111
Balance Wein Bar,venue,Friedrichshain,52.5217699,13.4494539,https://weinbalance.com,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/2866626835
Berndhain,club,Friedrichshain,52.5091003,13.4560428,https://berndhain.com,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/621429565
Cassiopeia,venue,Friedrichshain,52.5069978,13.4543762,https://www.cassiopeia-berlin.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/9698094769
Maaya,club,Friedrichshain,52.5072185,13.4527013,https://maaya.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",way/342600129
OST,club,Friedrichshain,52.4970681,13.4650321,https://clubost.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/8069721818
Pirates Club,club,Friedrichshain,52.5027268,13.4453492,https://piratesberlin.com/club,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/9806828894
RAW 99,club,Friedrichshain,52.5076615,13.454537,http://www.raw-tempel.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/492849637
Uber Arena,club,Friedrichshain,52.5063401,13.4437589,https://www.uber-arena.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",way/25007895
Uber Eats Music Hall,club,Friedrichshain,52.5049039,13.4431471,https://www.uber-eats-music-hall.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/6058229940
Balcone Lounge,venue,Kreuzberg,52.4888108,13.4117261,http://balcone-lounge.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/4998526587
Bistro Spumante,venue,Kreuzberg,52.4943295,13.4338186,https://www.bistro-spumante.org,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/2520313547
Blarney Pub,venue,Kreuzberg,52.4895024,13.3854467,http://blarney-pub.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/3571993093
Bulbul Berlin,club,Kreuzberg,52.4993312,13.4242521,https://www.bulbulberlin.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/1941952571
Galander Kreuzberg,venue,Kreuzberg,52.4919033,13.3831496,https://www.galander.berlin/galander-bar-kreuzberg,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/3163411214
Junction-Bar,club,Kreuzberg,52.4913696,13.3931533,https://www.junction-bar.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/259845846
spindler & klatt,club,Kreuzberg,52.5058678,13.4346441,https://spindlerklatt.com,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/9895178218
203 Bar im Fernsehturm,venue,Mitte,52.5208599,13.4093633,https://www.tv-turm.de/de/bar-restaurant,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/4948143723
Bar Saint Jean,venue,Mitte,52.5235889,13.3907508,https://sites.google.com/view/barsaintjean,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/9045180679
Bar Steinkeller,venue,Mitte,52.5273496,13.4039576,https://cocktailbar-steinkeller.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/3239758885
Bar Tausend,venue,Mitte,52.5208236,13.3847097,https://tausendberlin.com,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/1391604297
Berlin Icebar - Polar Expedition,venue,Mitte,52.5212657,13.4036317,https://berlinicebar.com,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/5726198087
Betty F***,venue,Mitte,52.5275404,13.4052143,http://www.bettyf.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/1278254656
Billardsalon Köh,venue,Mitte,52.5252025,13.4018544,http://www.billardkoeh.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/309902514
Clärchens Ballhaus,club,Mitte,52.5264743,13.39691,https://www.claerchensball.haus,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/429735547
Cosmic Kaspar,club,Mitte,52.5299774,13.4006925,https://www.cosmic-kaspar.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/6482231157
Das Caro,venue,Mitte,52.531471,13.3857245,https://www.dascaro-berlin.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/6298093554
Eschschloraque Rümschrümp,venue,Mitte,52.5244696,13.4017208,http://www.eschschloraque.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/945106909
Gestrandet an der Jannowitzbrücke,venue,Mitte,52.514901,13.4173876,https://strandhaus-berlin.de/de/gestrandet-mitte,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/3458901232
Hafenbar,club,Mitte,52.5217615,13.4075481,https://www.hafenbar-berlin.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/1145853246
Kit Kat Club,club,Mitte,52.5112074,13.4169157,http://www.kitkatclub.org,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/729294555
LARK,club,Mitte,52.5130237,13.4227766,https://larkberlin.com,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",way/136852555
NBI Club,club,Mitte,52.53567,13.401179,http://www.neueberlinerinitiative.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/670069373
Sage,club,Mitte,52.5110197,13.4169088,https://www.sage-club.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/667842214
Weekend Club,club,Mitte,52.5229029,13.4164231,http://www.week-end-berlin.de,"no feed found — html_llm candidate, needs manual clearance before any ingest",node/1162812586
Bata,venue,Moabit,52.5303619,13.3670529,https://www.batabar.com,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/4307700921
George R,venue,Moabit,52.5301741,13.3411616,https://george-r.de,"only a generic site feed (/feed/) — that is the blog, not the programme; html_llm candidate, needs manual clearance",node/2712285022
