key,name,type,district,lat,lng,address,homepage,ingest_method,endpoint_url,osm_id,clearance,crawl_delay_s,robots_checked_at
about_blank,://about blank,club,Friedrichshain,52.5024767,13.466302,Markgrafendamm 24c 10245,https://aboutblank.li,html_llm,https://aboutblank.li,node/5906879511,green,5.0,2026-08-01T10:32:57+00:00
beate_uwe,Beate Uwe,club,Mitte,52.5174812,13.419024,Schillingstraße 31 10179,https://beate-uwe.de,html_llm,https://beate-uwe.de,node/4217156190,green,5.0,2026-08-01T10:32:57+00:00
berghain,Berghain,club,Friedrichshain,52.5111669,13.4430356,Am Wriezener Bahnhof 10243,https://www.berghain.de,html_llm,https://berghain.berlin/de/program/,node/6341225967,green,5.0,2026-08-01T10:32:57+00:00
berghain_kantine,Berghain Kantine,club,Friedrichshain,52.5115255,13.4424598,Am Wriezener Bahnhof 10243,https://www.berghain.berlin/de/program/kantine-am-berghain,html_llm,https://www.berghain.berlin/de/program/,way/286165789,green,5.0,2026-08-01T10:32:57+00:00
else,Else,club,Alt-Treptow,52.4952235,13.4627988,An den Treptowers 10 12435,http://else.tv,html_llm,http://else.tv,way/232536532,green,5.0,2026-08-01T10:32:57+00:00
fitzroy,Fitzroy,club,,52.5130757,13.4228651,Holzmarktstraße 15—18 10179,https://fitzroy-berlin.de,html_llm,https://fitzroy-berlin.de/events/,node/10621062970,green,5.0,2026-08-01T10:32:57+00:00
golden_gate,Golden Gate,club,,52.5159809,13.4169278,,https://www.goldengate-berlin.de,html_llm,https://www.goldengate-berlin.de,way/72984386,green,5.0,2026-08-01T10:32:57+00:00
gretchen,Gretchen,club,,52.4960412,13.3875425,Obentrautstraße 19-21 10963,https://www.gretchen-club.de,html_llm,https://www.gretchen-club.de/detail.php?id=3486,way/36908987,green,5.0,2026-08-01T10:32:57+00:00
humboldthain_club,Humboldthain Club,club,,52.5441625,13.3787124,Hochstraße 46 13357,https://www.humboldthain.com,html_llm,https://www.humboldthain.com,node/373095675,green,5.0,2026-08-01T10:32:57+00:00
kater_blau,Kater Blau,club,Friedrichshain,52.5119241,13.425333,Holzmarktstraße 25 10243,http://www.katerblau.de,html_llm,http://www.katerblau.de,way/293386107,green,5.0,2026-08-01T10:32:57+00:00
matrix,Matrix,club,Friedrichshain,52.5046782,13.4490212,Warschauer Platz 18 10245,https://www.matrix-berlin.de,html_llm,https://www.matrix-berlin.de/party-in-berlin/,node/339749949,green,5.0,2026-08-01T10:32:57+00:00
maxxim_club,Maxxim Club,club,Charlottenburg,52.5019061,13.3308361,Joachimsthaler Straße 15 10719,https://www.maxxim-berlin.de,html_llm,https://www.maxxim-berlin.de/partys,node/2347398754,green,5.0,2026-08-01T10:32:57+00:00
ohm,Ohm,club,Mitte,52.5105954,13.4197888,Köpenicker Straße 70 10179,https://ohmberlin.com,html_llm,https://ohmberlin.com,node/2876098523,green,5.0,2026-08-01T10:32:57+00:00
panke,Panke,club,Gesundbrunnen,52.545002,13.37422,Gerichtstraße 23 13347,https://www.pankeculture.com,html_llm,https://www.pankeculture.com/programme/,way/119172796,green,5.0,2026-08-01T10:32:57+00:00
prince_charles,Prince Charles,club,,52.5032996,13.4087274,Prinzenstraße 85f 10969,https://www.princecharlesberlin.com,html_llm,https://www.princecharlesberlin.com,node/1370001597,green,5.0,2026-08-01T10:32:57+00:00
revier_sudost,Revier Südost,club,Niederschöneweide,52.4599968,13.5052662,Schnellerstraße 137 12439,https://reviersuedost.de,html_llm,https://reviersuedost.de,node/9216819283,green,5.0,2026-08-01T10:32:57+00:00
